,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,people_fully_vaccinated_per_hundred,new_vaccinations,people_vaccinated_per_hundred,population_density,median_age,aged_70_older,extreme_poverty,population,cardiovasc_death_rate,diabetes_prevalence,human_development_index
3758,ALB,Europe,Albania,2021-02-18,90835.0,0.0,1531.0,0.0,32124.246,0.0,541.446,0.0,406318.0,142.332,3049.0,2438.0,611.0,0.02,1348.0,0.09,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3840,ALB,Europe,Albania,2021-05-11,131577.0,0.0,2408.0,0.0,46532.855,0.0,851.601,0.0,643271.0,225.337,622507.0,440921.0,181586.0,6.39,9548.0,15.51,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3841,ALB,Europe,Albania,2021-05-12,131577.0,0.0,2408.0,0.0,46532.855,0.0,851.601,0.0,645978.0,226.285,632676.0,444755.0,187921.0,6.61,10169.0,15.65,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3842,ALB,Europe,Albania,2021-05-13,131577.0,0.0,2408.0,0.0,46532.855,0.0,851.601,0.0,648574.0,227.194,638338.0,445402.0,192936.0,6.79,5662.0,15.67,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3843,ALB,Europe,Albania,2021-05-14,131577.0,0.0,2408.0,0.0,46532.855,0.0,851.601,0.0,651538.0,228.233,653330.0,448571.0,204759.0,7.2,14992.0,15.78,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3847,ALB,Europe,Albania,2021-05-18,131939.0,0.0,2427.0,0.0,46660.88,0.0,858.321,0.0,662608.0,232.11,688947.0,460191.0,228756.0,8.05,8864.0,16.19,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3848,ALB,Europe,Albania,2021-05-19,131939.0,0.0,2427.0,0.0,46660.88,0.0,858.321,0.0,665659.0,233.179,697811.0,463402.0,234409.0,8.25,8864.0,16.3,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3849,ALB,Europe,Albania,2021-05-20,131939.0,0.0,2427.0,0.0,46660.88,0.0,858.321,0.0,668752.0,234.263,703743.0,466083.0,237660.0,8.36,5932.0,16.4,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3850,ALB,Europe,Albania,2021-05-21,131939.0,0.0,2427.0,0.0,46660.88,0.0,858.321,0.0,671919.0,235.372,708846.0,469169.0,239677.0,8.43,5103.0,16.51,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3853,ALB,Europe,Albania,2021-05-24,132153.0,0.0,2441.0,0.0,46736.562,0.0,863.272,0.0,680313.0,238.312,725135.0,475237.0,249898.0,8.79,8519.0,16.72,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
3856,ALB,Europe,Albania,2021-05-27,132153.0,0.0,2441.0,0.0,46736.562,0.0,863.272,0.0,689507.0,241.533,759043.0,481788.0,277255.0,9.75,10057.0,16.95,104.871,38.0,8.643,1.1,2842318,304.195,10.08,0.795
